               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048383,           0.0092085,                   0,             0.13326,             0.17197,            0.063833,            0.026783,            0.078074,            0.048125,                   0,            0.070077,           0.0033248,           0.0033248
                   1,            0.038047,           0.0070338,                   0,          0.00076529,           0.0075758,          0.00014127,          3.4473e-05,             0.11665,            0.028388,                   0,            0.040011,           0.0065922,           0.0065922
                   2,            0.036798,            0.006975,                   0,             0.61738,             0.27083,             0.28899,             0.15167,            0.070131,             0.02335,                   0,           0.0098789,           0.0097936,           0.0097936
                   3,            0.032987,           0.0063833,                   0,             0.94543,             0.37992,             0.52075,             0.25807,            0.060918,            0.023966,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030361,           0.0061521,                   0,             0.21041,             0.36894,             0.29191,             0.14769,            0.073851,            0.029334,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.029975,           0.0060738,                   0,             0.93876,             0.49354,             0.61906,             0.30675,            0.044927,            0.023576,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.028505,           0.0059625,                   0,             0.90006,              0.6959,             0.79458,             0.46492,            0.040124,            0.016102,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.027904,           0.0058152,                   0,             0.96057,             0.66433,             0.80672,             0.39921,            0.041738,            0.017361,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.027895,           0.0058285,                   0,             0.94014,             0.61873,              0.7718,             0.43037,            0.039004,            0.018684,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.027147,           0.0056936,                   0,             0.93487,             0.81515,             0.88431,             0.44852,            0.037435,             0.01368,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.026359,           0.0055687,                   0,             0.53796,             0.60265,             0.58565,             0.31429,            0.046227,            0.017103,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.026634,           0.0055867,                   0,            0.051579,             0.14848,            0.059406,            0.022786,            0.081855,            0.033132,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026131,           0.0055043,                   0,              0.8446,             0.55038,             0.65995,             0.33492,            0.045676,            0.014955,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.025788,           0.0054144,                   0,             0.89163,             0.47273,             0.63329,             0.28388,              0.0557,            0.019747,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.025479,           0.0054959,                   0,             0.94451,             0.65116,             0.80948,             0.48965,            0.034938,            0.015895,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.025582,           0.0054766,                   0,             0.97022,             0.53712,              0.7625,             0.36549,            0.059685,             0.02196,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.025465,           0.0054106,                   0,             0.91763,             0.39244,             0.48567,             0.28486,            0.069444,            0.020083,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.024896,           0.0053461,                   0,             0.95047,             0.50157,             0.66957,             0.40816,            0.051541,            0.022521,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.024555,           0.0052892,                   0,             0.85653,             0.61818,             0.72155,              0.3563,            0.047227,            0.016441,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.024894,           0.0053002,                   0,             0.91813,             0.56932,             0.70177,             0.39515,            0.044858,            0.019113,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.023763,           0.0052046,                   0,              0.9662,             0.54134,             0.67934,             0.41343,            0.041438,            0.020977,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024415,           0.0053385,                   0,             0.90798,              0.4822,             0.59207,             0.34866,            0.050787,            0.021629,                   0,             0.00802,             0.00802,             0.00802
                  22,              0.0243,           0.0052046,                   0,             0.42614,             0.52235,             0.57356,             0.32586,            0.057055,            0.028462,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.023982,           0.0051764,                   0,             0.87678,             0.77273,             0.86327,             0.47009,            0.037311,             0.01272,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.023602,           0.0050707,                   0,              0.8463,             0.37126,             0.48004,             0.27235,            0.063429,            0.024239,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.023734,           0.0051749,                   0,             0.94091,             0.74791,              0.8771,             0.42615,             0.03694,            0.013759,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.023215,           0.0050421,                   0,             0.92854,            0.078745,             0.10978,             0.05815,             0.10605,            0.020114,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.023661,           0.0051407,                   0,             0.95373,             0.43719,             0.61458,             0.36403,            0.051395,            0.023206,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.022416,           0.0049919,                   0,             0.89957,             0.76341,             0.85449,              0.4371,            0.039712,            0.013984,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023272,           0.0050503,                   0,              0.9289,             0.92235,             0.94401,             0.48972,            0.032535,           0.0095386,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.022539,           0.0050894,                   0,             0.91833,             0.79583,             0.87585,             0.45924,            0.037138,            0.012199,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.022423,           0.0050195,                   0,             0.88612,             0.71329,              0.8341,             0.40955,             0.03846,            0.012512,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.022488,           0.0050231,                   0,             0.92046,             0.71884,             0.82655,             0.44026,            0.036729,            0.014397,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.022188,           0.0049585,                   0,             0.97135,             0.39735,             0.50141,             0.27959,             0.05522,            0.024406,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.022373,           0.0049621,                   0,             0.91836,             0.65189,             0.76809,             0.45464,            0.037513,            0.016056,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.022137,           0.0049561,                   0,             0.90046,             0.81515,             0.89037,             0.48017,            0.034154,            0.010793,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.021736,           0.0048569,                   0,             0.89822,             0.75215,             0.86427,             0.42067,            0.039347,            0.013993,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.02139,           0.0046928,                   0,             0.93272,             0.80343,             0.89235,             0.50385,            0.034001,             0.01224,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.021839,            0.004935,                   0,             0.90481,             0.52803,             0.63104,               0.321,            0.048911,            0.019611,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021409,            0.004785,                   0,             0.90764,             0.69984,             0.77154,              0.4099,            0.042339,            0.013552,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021147,            0.004742,                   0,             0.92895,             0.63389,             0.75472,             0.38576,            0.043566,            0.016449,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021148,           0.0047946,                   0,             0.92133,             0.58557,             0.72244,             0.39615,            0.046804,            0.018279,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020947,            0.004664,                   0,             0.91898,             0.78636,             0.88112,             0.45814,            0.036058,             0.01393,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020427,           0.0045339,                   0,             0.90348,             0.70947,             0.82784,             0.44407,            0.038513,             0.01404,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020602,           0.0047539,                   0,             0.91157,             0.58295,             0.70261,             0.37909,            0.044253,            0.017387,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.020791,           0.0046341,                   0,             0.90571,             0.66582,             0.78341,              0.4393,            0.039415,            0.015928,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.020661,           0.0046262,                   0,              0.9169,             0.84007,             0.90755,             0.46664,             0.03648,            0.011992,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.020614,            0.004661,                   0,             0.92292,             0.71818,             0.82092,             0.43538,            0.037012,            0.014727,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020069,            0.004592,                   0,             0.86323,             0.69568,             0.78397,             0.38019,             0.04143,            0.014051,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020248,           0.0047606,                   0,             0.94433,             0.79035,             0.89271,             0.44726,            0.036124,            0.012845,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020025,           0.0045594,                   0,             0.92016,             0.63561,             0.75686,             0.42456,             0.04164,            0.017011,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019997,           0.0046817,                   0,             0.88104,             0.71817,             0.82847,             0.40897,            0.040117,            0.014032,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019514,           0.0045647,                   0,             0.90683,             0.62309,             0.74169,             0.40472,            0.040776,             0.01665,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019883,           0.0045164,                   0,             0.90389,             0.82348,             0.90123,             0.44964,            0.035595,            0.011533,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.019688,           0.0045666,                   0,             0.92751,              0.7754,              0.8806,             0.43866,            0.037166,            0.013964,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019525,           0.0044392,                   0,             0.90887,             0.68002,               0.812,             0.44684,            0.038215,            0.014677,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019353,           0.0045414,                   0,             0.92497,              0.6947,             0.80712,             0.41109,             0.03901,            0.015628,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.01926,           0.0044848,                   0,             0.91992,             0.77159,             0.86557,             0.44367,            0.036782,            0.012625,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018998,           0.0044734,                   0,             0.92306,             0.83106,             0.90429,             0.46257,            0.035694,             0.01262,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019168,             0.00454,                   0,             0.92503,             0.73383,              0.8431,             0.43112,             0.03817,            0.014482,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018878,           0.0043463,                   0,             0.91037,             0.78098,             0.87097,             0.46402,            0.036267,            0.011861,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018845,           0.0042344,                   0,             0.88429,             0.76136,             0.84729,             0.43989,            0.037353,            0.012103,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018492,            0.004294,                   0,             0.92926,             0.78371,             0.87198,             0.45549,            0.036902,            0.012873,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018381,           0.0042826,                   0,             0.92871,              0.6514,             0.77737,             0.41682,            0.039364,            0.017027,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018128,           0.0042856,                   0,             0.93739,             0.81102,             0.89975,               0.461,            0.035388,            0.012653,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.018561,           0.0044058,                   0,             0.93916,             0.73093,             0.84943,             0.43976,            0.036697,            0.014697,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.01819,           0.0042221,                   0,             0.92605,             0.61705,              0.7344,             0.36826,            0.042121,            0.016693,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.01779,            0.004186,                   0,             0.91921,             0.73262,             0.83395,             0.41507,            0.039256,            0.014071,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.01788,           0.0042899,                   0,                0.93,             0.65417,             0.78189,             0.40959,            0.039762,            0.016086,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017581,           0.0042504,                   0,             0.93362,             0.83111,             0.90919,             0.47498,             0.03466,            0.012163,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.017718,           0.0042776,                   0,             0.93044,             0.73712,             0.85515,              0.4568,            0.035872,             0.01414,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018002,           0.0042147,                   0,             0.91742,             0.73409,             0.84329,             0.41186,            0.038474,            0.013421,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.017157,           0.0042339,                   0,             0.93375,             0.80609,             0.89002,              0.4553,            0.036001,            0.012602,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.01663,           0.0040867,                   0,             0.94235,             0.71199,             0.83066,              0.4211,            0.037398,            0.015218,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.016963,           0.0041044,                   0,             0.93781,             0.78253,             0.87874,             0.43482,            0.036869,            0.013866,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016811,           0.0040129,                   0,             0.91152,             0.72976,             0.82948,             0.40283,            0.039967,            0.014644,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.016528,           0.0040125,                   0,             0.93718,             0.77803,              0.8829,             0.45116,            0.036922,            0.013814,                   0,            0.002575,            0.002575,            0.002575
                  77,              0.0167,           0.0040937,                   0,             0.93508,             0.79651,             0.89344,             0.45429,              0.0359,            0.013108,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016431,           0.0040896,                   0,             0.93442,             0.82037,             0.88871,             0.43847,            0.035476,            0.012079,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016183,            0.003927,                   0,             0.92273,             0.75758,             0.85231,             0.42422,            0.038153,             0.01378,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01586,           0.0039024,                   0,             0.92591,             0.77637,             0.86524,             0.41695,            0.038672,            0.013694,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016304,           0.0040118,                   0,             0.93188,             0.77045,              0.8674,             0.42734,            0.037638,            0.013463,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015818,           0.0039062,                   0,             0.93188,             0.71512,             0.82072,             0.41445,            0.038798,            0.014767,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015578,           0.0038264,                   0,             0.92494,             0.69242,             0.81088,             0.41132,            0.039149,            0.015712,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016031,           0.0039894,                   0,             0.92654,             0.70707,              0.8158,             0.40877,             0.03858,            0.015049,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01584,           0.0039271,                   0,             0.92718,             0.77647,              0.8569,             0.42504,            0.036878,            0.013298,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015234,            0.003802,                   0,             0.92577,             0.78826,             0.86459,             0.43972,            0.036107,            0.012828,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015051,           0.0038768,                   0,             0.92464,              0.7761,             0.86342,             0.44209,             0.03629,            0.013486,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015007,           0.0037562,                   0,             0.92027,             0.76894,             0.86015,             0.42959,            0.037845,             0.01418,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014796,           0.0037721,                   0,             0.91562,             0.78504,             0.87762,             0.44277,            0.036728,            0.013161,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.014492,           0.0037704,                   0,              0.9131,             0.78012,             0.87468,             0.42898,            0.037139,            0.013083,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014407,           0.0036567,                   0,             0.90847,             0.76667,             0.86852,             0.43669,            0.037115,            0.013494,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014124,           0.0036197,                   0,             0.90429,             0.77992,             0.86991,             0.43632,             0.03693,            0.013101,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.013925,           0.0035814,                   0,             0.90249,             0.80984,             0.88501,             0.43666,            0.036289,            0.012294,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013801,           0.0036097,                   0,             0.89485,             0.80265,             0.87806,             0.42119,            0.036964,            0.012317,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013794,           0.0035736,                   0,             0.89891,             0.79811,             0.88117,              0.4267,            0.036748,            0.012343,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013238,           0.0035492,                   0,             0.91056,             0.80341,             0.88842,             0.43118,            0.036672,            0.012388,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013265,           0.0035567,                   0,             0.91665,             0.82895,             0.90086,             0.43512,            0.036277,            0.011902,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.013076,           0.0035063,                   0,             0.91999,              0.8375,              0.9034,             0.43747,            0.036183,              0.0119,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.013047,           0.0034248,                   0,             0.91736,             0.84097,             0.90309,             0.43151,            0.036467,            0.011851,                   0,            0.000298,            0.000298,            0.000298
